id,ra,dec,mag,con
21368,4.598677,16.509301,0.87,Tau
65269,13.419883,-11.161322,0.98,Vir
80519,16.490128,-26.432002,1.06,Sco
37718,7.755277,28.026199,1.16,Gem
49528,10.139532,11.967207,1.36,Leo
36744,7.576634,31.888276,1.58,Gem
85665,17.560145,-37.103821,1.62,Sco
25364,5.438198,28.60745,1.65,Tau
89906,18.402868,-34.384616,1.79,Sgr
85965,17.62198,-42.997824,1.86,Sco
31601,6.628528,16.399252,1.93,Gem
9861,2.119555,23.462423,2.01,Ari
50440,10.332873,19.841489,2.01,Leo
92564,18.92109,-26.296722,2.05,Sgr
57459,11.817663,14.57206,2.14,Leo
78165,16.005557,-22.62171,2.29,Sco
82144,16.83608,-34.293232,2.29,Sco
86403,17.708132,-39.029983,2.39,Sco
54712,11.235138,20.523717,2.56,Leo
78580,16.09062,-19.805453,2.56,Sco
93213,19.043532,-29.880105,2.6,Sgr
74556,15.283449,-9.382917,2.61,Lib
8884,1.910668,20.808035,2.64,Ari
85436,17.512732,-37.295811,2.7,Sco
89653,18.3499,-29.828103,2.72,Sgr
61748,12.694345,-1.449375,2.74,Vir
72396,14.847977,-16.041778,2.75,Lib
81020,16.598043,-28.216016,2.82,Sco
90217,18.466179,-25.4217,2.82,Sgr
17661,3.79141,24.105137,2.85,Tau
63405,13.036278,10.95915,2.85,Vir
107213,21.784011,-16.127286,2.85,Cap
118485,7.576827,31.89052,2.85,Gem
30270,6.382673,22.513586,2.87,Gem
93846,19.162731,-21.023615,2.88,Sgr
78029,15.980865,-26.114105,2.89,Sco
79870,16.353143,-25.592796,2.9,Sco
105936,21.525982,-5.571172,2.9,Aqr
108728,22.096399,-0.319851,2.95,Aqr
26386,5.627413,21.142549,2.97,Tau
47772,9.764188,23.774255,2.97,Leo
88361,18.096803,-30.424091,2.98,Sgr
86804,17.793078,-40.126997,2.99,Sco
82263,16.864509,-38.04738,3,Sco
100020,20.350187,-14.781367,3.05,Cap
32161,6.732202,25.131124,3.06,Gem
89364,18.293793,-36.761686,3.1,Sgr
91754,18.76094,-26.990778,3.17,Sgr
86991,17.830965,-37.043304,3.19,Sco
32521,6.803194,-61.941391,3.24,Pic
73486,15.067839,-25.281965,3.25,Lib
112776,22.910837,-15.82082,3.27,Aqr
29582,6.247961,22.506799,3.31,Gem
83885,17.202552,-43.239189,3.32,Sco
93569,19.11567,-27.670423,3.32,Sgr
54718,11.237335,15.42957,3.33,Leo
32276,6.754824,12.895591,3.35,Gem
66040,13.57822,-0.59582,3.38,Vir
62890,12.926725,3.39747,3.39,Vir
20842,4.477705,15.870883,3.4,Tau
18677,4.011338,12.490347,3.41,Tau
50193,10.278171,23.417311,3.43,Leo
49441,10.122209,16.762664,3.48,Leo
